LA_name,LA_pr,mamam
Bracknell Forest,https://www.bracknell-forest.gov.uk/news,page
Reading,http://news.reading.gov.uk/pr/,golekono dewe
West Berkshire,https://info.westberks.gov.uk/news,golekono dewe
Windsor and Maidenhead,https://www3.rbwm.gov.uk/news,golekono dewe
Chiltern,https://www.chiltern.gov.uk/article/8020/News,page
South Bucks,https://www.southbucks.gov.uk/news,page
Cambridgeshire,https://www.cambridgeshire.gov.uk/news,golekono dewe
Cambridge,https://www.cambridge.gov.uk/news,golekono dewe
Fenland,https://www.fenland.gov.uk/news,golekono dewe
Huntingdonshire,https://www.huntingdonshire.gov.uk/news/,golekono dewe
Cheshire West and Chester,https://www.cheshirewestandchester.gov.uk/news-and-views/news-and-views.aspx,golekono dewe
City of London,https://news.cityoflondon.gov.uk/,golekono dewe
Isles of Scilly,https://www.scilly.gov.uk/most-recent-news-items,page
Eden,https://www.eden.gov.uk/your-council/news/,rss
South Lakeland,https://www.southlakeland.gov.uk/news/,golekono dewe
Derby,https://news.derby.gov.uk/,golekono dewe
Erewash,https://www.erewash.gov.uk/index.php/news-and-events/latest-news-mnu.html,golekono dewe
High Peak,https://www.highpeak.gov.uk/article/599/News,golekono dewe
Teignbridge,https://www.teignbridge.gov.uk/news/,golekono dewe
East Riding of Yorkshire,https://www.eastriding.gov.uk/say/news/,golekono dewe
Hastings,https://www.hastings.gov.uk/press_media/news/,golekono dewe
Basildon,https://www.basildon.gov.uk/news,golekono dewe
Brentwood,http://www.brentwood.gov.uk/index.php?cid=826,golekono dewe
Epping Forest,https://www.eppingforestdc.gov.uk/category/news/,golekono dewe
Rochford,https://www.rochford.gov.uk/business/business-news-and-events,golekono dewe
Thurrock,https://www.thurrock.gov.uk/news,page
Uttlesford,https://www.uttlesford.gov.uk/news,page
Cotswold,https://news.cotswold.gov.uk/,golekono dewe
Forest of Dean,https://www.fdean.gov.uk/residents/latest-news-events/,golekono dewe
Gloucester,https://www.gloucestershire.gov.uk/gloucestershire-county-council-news/,rss
South Gloucestershire,https://sites.southglos.gov.uk/newsroom/,golekono dewe
Stroud,https://www.stroud.gov.uk/news-archive,page
Enfield,https://new.enfield.gov.uk/news-and-events/,golekono dewe
Greenwich,https://www.royalgreenwich.gov.uk/news,rss
Hackney,https://news.hackney.gov.uk/,golekono dewe
Hammersmith and Fulham,https://www.lbhf.gov.uk/allnews,page
Harrow,https://www.harrow.gov.uk/news,page
Hillingdon,https://www.hillingdon.gov.uk/article/2036/News-in-Hillingdon,page
Hounslow,https://www.hounslow.gov.uk/news,rss
Islington,https://www.islington.media/news,page
Kensington and Chelsea,https://www.rbkc.gov.uk/newsroom-rbkc,golekono dewe
Kingston upon Thames,https://www.kingston.gov.uk/news,rss
Lambeth,https://love.lambeth.gov.uk/all-posts/,page
Lewisham,https://lewisham.gov.uk/news,golekono dewe
Merton,https://news.merton.gov.uk/,rss
Redbridge,https://www.redbridge.gov.uk/news/,golekono dewe
Richmond upon Thames,https://www.richmond.gov.uk/council/news,page
Southwark,https://www.southwark.gov.uk/news,golekono dewe
Tower Hamlets,https://www.towerhamlets.gov.uk/News_events/News.aspx,page
Waltham Forest,https://walthamforest.gov.uk/news,page
Wandsworth,https://www.wandsworth.gov.uk/news,golekono dewe
Westminster,https://www.westminster.gov.uk/news,golekono dewe
Greater Manchester,https://www.greatermanchester-ca.gov.uk/news/,golekono dewe
Bolton,https://www.bolton.gov.uk/news,page
Bury,http://www.mynewsdesk.com/uk/bury-council/latest_news,page
Manchester,https://www.manchester.gov.uk/news/,golekono dewe
Oldham,https://www.oldham.gov.uk/news,rss
Rochdale,http://www.rochdale.gov.uk/news/,rss
Salford,https://www.salford.gov.uk/your-council/news/,rss
Stockport,https://www.stockport.gov.uk/news,golekono dewe
Tameside,https://www.tameside.gov.uk/Newsroom,golekono dewe
Trafford,https://www.trafford.gov.uk/residents/news/news-archive.aspx,page
Wigan,https://www.wigan.gov.uk/News/Borough-news.aspx,golekono dewe
Hampshire,https://www.hants.gov.uk/News,rss
Basingstoke and Deane,https://www.basingstoke.gov.uk/our-news-and-media,golekono dewe
East Hampshire,https://www.easthants.gov.uk/latest-news,page
Eastleigh,https://www.eastleigh.gov.uk/your-weekly-borough-news,golekono dewe
Fareham,https://www.fareham.gov.uk/latest_news/intro.aspx,rss
Gosport,https://www.gosport.gov.uk/pressreleases,page
Havant,https://www.havant.gov.uk/latest-news,page
New Forest,http://www.newforest.gov.uk/article/19403/2020-News-Releases-Apr-Jun,golekono dewe
Portsmouth,https://www.portsmouth.gov.uk/Ext/AllNews?keywords=,golekono dewe
Rushmoor,https://www.rushmoor.gov.uk/news,golekono dewe
Southampton,https://www.southampton.gov.uk/news/,golekono dewe
Test Valley,https://www.testvalley.gov.uk/news,golekono dewe
Winchester,https://www.winchester.gov.uk/news,rss
"Herefordshire, County of",https://www.herefordshire.gov.uk/news,rss
Hertfordshire,https://www.hertfordshire.gov.uk/about-the-council/news/media-centre.aspx,golekono dewe
Broxbourne,https://www.broxbourne.gov.uk/news,page
Dacorum,https://www.dacorum.gov.uk/home/news,page
East Hertfordshire,https://www.eastherts.gov.uk/latest-news,page
Hertsmere,https://www.hertsmere.gov.uk/News/NewsHome.aspx,page
North Hertfordshire,https://www.north-herts.gov.uk/latest-news,page
St Albans,https://www.stalbans.gov.uk/news,page
Three Rivers,https://www.threerivers.gov.uk/listing/news,golekono dewe
Watford,https://www.watford.gov.uk/news,rss
Welwyn Hatfield,https://www.welhat.gov.uk/news,golekono dewe
Isle of Wight,https://www.iow.gov.uk/news/,page
Isle of Wight,https://www.iow.gov.uk/news/,page
Kent,https://kccmediahub.net/,rss
Canterbury,https://news.canterbury.gov.uk/news,page
Dartford,https://www.dartford.gov.uk/news,page
Dover,https://www.dover.gov.uk/News/Home.aspx,golekono dewe
Folkestone and Hythe,https://www.folkestone-hythe.gov.uk/article/30/News,page
Gravesham,https://www.gravesham.gov.uk/home/news-and-events/news,golekono dewe
Maidstone,https://news.maidstone.gov.uk/,golekono dewe
Medway,https://www.medway.gov.uk/news,golekono dewe
Sevenoaks,https://www.sevenoaks.gov.uk/news,rss
Swale,https://www.swale.gov.uk/hot-off-the-press/,golekono dewe
Thanet,https://www.thanet.gov.uk/latest-news/,page
Tonbridge and Malling,https://www.tmbc.gov.uk/news,page
Tunbridge Wells,http://www.tunbridgewells.gov.uk/residents/news,rss
Lancashire,https://www.lancashire.gov.uk/news/,rss
Blackpool,https://www.blackpool.gov.uk/News/News.aspx,page
Burnley,https://www.burnley.gov.uk/news-events,golekono dewe
Chorley,https://choosechorley.co.uk/news/Pages/default.aspx,golekono dewe
Fylde,https://new.fylde.gov.uk/news/,golekono dewe
Hyndburn,https://www.hyndburnbc.gov.uk/hyndburnnews/,page
Lancaster,https://www.lancaster.gov.uk/news,golekono dewe
Preston,https://www.preston.gov.uk/news,page
Ribble Valley,https://www.ribblevalley.gov.uk/news,golekono dewe
Rossendale,http://www.rossendalenews.org.uk/,golekono dewe
South Ribble,https://www.southribble.gov.uk/content/news-and-media,golekono dewe
West Lancashire,https://www.westlancs.gov.uk/news.aspx,golekono dewe
Wyre,https://www.wyre.gov.uk/news/,rss
Leicestershire,https://www.leicestershire.gov.uk/news,page
Blaby,https://www.blaby.gov.uk/your-council/news-and-awards/news/,rss
Charnwood,https://www.charnwood.gov.uk/pages/charnwoodnews,golekono dewe
Harborough,https://www.harborough.gov.uk/news,rss
Hinckley and Bosworth,https://www.hinckley-bosworth.gov.uk/newsandpress,rss
Leicester,https://news.leicester.gov.uk/,page
Melton,http://www.melton.gov.uk/ournews,rss
North West Leicestershire,https://www.nwleics.gov.uk/pages/news,golekono dewe
Oadby and Wigston,https://www.oadby-wigston.gov.uk/pages/news,golekono dewe
Lincolnshire,https://www.lincolnshire.gov.uk/news,page
Boston,https://www.mybostonuk.com/news/,page
East Lindsey,https://www.e-lindsey.gov.uk/article/4986/Latest-News,page
Lincoln,https://www.lincoln.gov.uk/news,page
North East Lincolnshire,https://www.nelincs.gov.uk/?s=news,golekono dewe
North Kesteven,https://www.n-kesteven.gov.uk/your-council/council-news/,page
North Lincolnshire,https://www.northlincs.gov.uk/news/,golekono dewe
South Holland,https://www.sholland.gov.uk/News,page
South Kesteven,http://www.southkesteven.gov.uk/index.aspx?articleid=8742,golekono dewe
West Lindsey,https://www.west-lindsey.gov.uk/my-council/council-news/,page
Knowsley,https://www.knowsleynews.co.uk/,golekono dewe
Liverpool,https://liverpoolexpress.co.uk/,golekono dewe
Sefton,http://mysefton.co.uk/category/latest-news/,rss
St. Helens,https://www.sthelens.gov.uk/news/,page
Wirral,https://wirralview.com/news,page
Norfolk,https://www.norfolk.gov.uk/news,golekono dewe
Breckland,https://www.breckland.gov.uk/latestnews,rss
Broadland,https://www.broadland.gov.uk/news/archive,golekono dewe
Great Yarmouth,https://www.great-yarmouth.gov.uk/news,golekono dewe
King's Lynn and West Norfolk,https://www.west-norfolk.gov.uk/newsroom,golekono dewe
North Norfolk,https://www.north-norfolk.gov.uk/news/,rss
Norwich,https://www.norwich.gov.uk/news,rss
South Norfolk,https://www.south-norfolk.gov.uk/about-us/press-releases,page
North Yorkshire,https://www.northyorks.gov.uk/news,rss
Craven,https://www.cravendc.gov.uk/news/,golekono dewe
Hambleton,https://www.hambleton.gov.uk/news,rss
Harrogate,https://www.harrogate.gov.uk/news,rss
Selby,https://www.selby.gov.uk/eastern-cef-latest-news,golekono dewe
York,https://www.york.gov.uk/homepage/47/news_centre,golekono dewe
Redcar and Cleveland,https://www.redcar-cleveland.gov.uk/News/Pages/news.aspx,golekono dewe
Stockton-on-Tees,https://www.stockton.gov.uk/news/,rss
Northamptonshire,https://www.northamptonshire.gov.uk/news/council-news/Pages/default.aspx,page
Corby,https://www.corby.gov.uk/latest-news,page
East Northamptonshire,https://www.east-northamptonshire.gov.uk/news,golekono dewe
Kettering,https://www.kettering.gov.uk/news,rss
Northampton,https://www.northampton.gov.uk/news,golekono dewe
South Northamptonshire,https://www.southnorthants.gov.uk/news,rss
Wellingborough,http://www.wellingborough.gov.uk/news,golekono dewe
Northern Ireland,https://www.northernireland.gov.uk/press-releases,rss
Antrim and Newtownabbey,https://antrimandnewtownabbey.gov.uk/news/,page
Ards and North Down,https://www.ardsandnorthdown.gov.uk/news,golekono dewe
"Armagh City, Banbridge and Craigavon",https://www.armaghbanbridgecraigavon.gov.uk/news/,golekono dewe
Belfast,http://www.belfastcity.gov.uk/News/News.aspx,page
Causeway Coast and Glens,https://www.causewaycoastandglens.gov.uk/news,golekono dewe
Derry City and Strabane,https://www.derrystrabane.com/Council/News,page
Fermanagh and Omagh,https://www.fermanaghomagh.com/news/,page
Lisburn and Castlereagh,https://www.lisburncastlereagh.gov.uk/news,golekono dewe
Mid and East Antrim,https://www.mynewsdesk.com/uk/meabc,golekono dewe
Mid Ulster,https://www.midulstercouncil.org/news,page
"Newry, Mourne and Down",https://www.newrymournedown.org/news,rss
Northumberland,https://www.northumberland.gov.uk/News.aspx,page
Nottinghamshire,https://www.nottinghamshire.gov.uk/newsroom/news,golekono dewe
Nottingham,http://www.mynottinghamnews.co.uk/main-news-page/,rss
Ashfield,https://www.ashfield.gov.uk/mediacentre/news-and-updates/,golekono dewe
Bassetlaw,https://www.bassetlaw.gov.uk/media-centre/news/,golekono dewe
Broxtowe,https://www.broxtowe.gov.uk/news-events/,golekono dewe
Mansfield,https://www.mansfield.gov.uk/news,page
Newark and Sherwood,https://www.newark-sherwooddc.gov.uk/#horizontalTab3,golekono dewe
Rushcliffe,https://www.rushcliffe.gov.uk/aboutus/newsandpublications/latestnews/,rss
Oxfordshire,https://news.oxfordshire.gov.uk/,golekono dewe
Cherwell,https://www.cherwell.gov.uk/news,rss
Oxford,https://www.oxford.gov.uk/news,rss
South Oxfordshire,http://www.southoxon.gov.uk/news-and-events,golekono dewe
Vale of White Horse,http://www.whitehorsedc.gov.uk/news,page
Rutland,https://www.rutland.gov.uk/my-council/council-news/,golekono dewe
Scotland,https://www.gov.scot/news/,page
Aberdeen City,https://news.aberdeencity.gov.uk/,golekono dewe
Aberdeenshire,https://www.aberdeenshire.gov.uk/news/,golekono dewe
Argyll and Bute,https://www.argyll-bute.gov.uk/news,page
City of Edinburgh,https://www.edinburgh.gov.uk/news,page
Clackmannanshire,https://www.clacks.gov.uk/biodiversity/latest_news.html,golekono dewe
Dumfries and Galloway,https://www.dumgal.gov.uk/article/15085/Latest-news,golekono dewe
Dundee City,https://www.dundeecity.gov.uk/news,rss
East Lothian,https://www.eastlothian.gov.uk/news,rss
East Renfrewshire,https://www.eastrenfrewshire.gov.uk/article/5429/All,golekono dewe
Falkirk,https://www.falkirk.gov.uk/news/,golekono dewe
Fife,https://www.fife.gov.uk/news,golekono dewe
Glasgow City,https://www.glasgow.gov.uk/news,golekono dewe
Highland,https://www.highland.gov.uk/news/archive,rss
Inverclyde,https://www.inverclyde.gov.uk/news,rss
Midlothian,https://www.midlothian.gov.uk/news/archive,golekono dewe
Moray,https://newsroom.moray.gov.uk/news,page
Na h-Eileanan Siar,https://www.cne-siar.gov.uk/news/?fl,page
North Lanarkshire,https://www.northlanarkshire.gov.uk/index.aspx?articleid=12455,golekono dewe
Orkney Islands,https://www.orkney.gov.uk/News.htm,golekono dewe
Perth and Kinross,https://www.pkc.gov.uk/news,golekono dewe
Renfrewshire,http://www.renfrewshire.gov.uk/news,page
Scottish Borders,https://www.scotborders.gov.uk/news,rss
Stirling,https://www.stirling.gov.uk/news/,page
West Dunbartonshire,https://www.west-dunbarton.gov.uk/council/newsroom/news/,golekono dewe
West Lothian,https://news.westlothian.gov.uk/,golekono dewe
Shropshire,https://newsroom.shropshire.gov.uk/,golekono dewe
Shropshire,https://newsroom.shropshire.gov.uk/,golekono dewe
Telford and Wrekin,http://newsroom.telford.gov.uk/,page
Somerset,https://somersetnewsroom.com/,page
Bath and North East Somerset,https://newsroom.bathnes.gov.uk/,golekono dewe
Mendip,https://www.mendip.gov.uk/news,page
North Somerset,https://www.n-somerset.gov.uk/my-council/news-media/news/,golekono dewe
Sedgemoor,https://www.sedgemoor.gov.uk/article/717/Latest-News-Announcements,rss
Somerset West and Taunton,https://www.somersetwestandtaunton.gov.uk/news/,page
South Somerset,https://www.southsomerset.gov.uk/news,golekono dewe
Barnsley,https://www.barnsley.gov.uk/search?search=news,golekono dewe
Doncaster,https://www.doncaster.gov.uk/news,rss
Rotherham,https://www.rotherham.gov.uk/news,page
Sheffield,https://sheffieldnewsroom.co.uk/,golekono dewe
Cannock Chase,https://www.cannockchasedc.gov.uk/council/latest-news,page
East Staffordshire,http://www.eaststaffsbc.gov.uk/es-news,golekono dewe
Lichfield,https://www.lichfielddc.gov.uk/news,page
Newcastle-under-Lyme,https://www.newcastle-staffs.gov.uk/news,golekono dewe
South Staffordshire,https://www.sstaffs.gov.uk/news/,golekono dewe
Stafford,https://www.staffordbc.gov.uk/news-articles,rss
Staffordshire Moorlands,https://www.staffsmoorlands.gov.uk/article/416/News--Events,golekono dewe
Stoke-on-Trent,https://www.stoke.gov.uk/news,rss
Tamworth,https://www.tamworth.gov.uk/news,rss
Suffolk,https://www.suffolk.gov.uk/council-and-democracy/council-news/,golekono dewe
Babergh,https://www.babergh.gov.uk/news/,rss
East Suffolk,https://www.eastsuffolk.gov.uk/news/,golekono dewe
Ipswich,https://www.ipswich.gov.uk/content/local-business-news,golekono dewe
West Suffolk,https://www.westsuffolk.gov.uk/news/,golekono dewe
Surrey,https://news.surreycc.gov.uk/,rss
Elmbridge,https://www.elmbridge.gov.uk/news/,page
Epsom and Ewell,https://www.epsom-ewell.gov.uk/news,golekono dewe
Guildford,https://www.guildford.gov.uk/newsandevents,golekono dewe
Mole Valley,https://news.molevalley.gov.uk/,page
Reigate and Banstead,http://www.reigate-banstead.gov.uk/news,rss
Runnymede,https://www.runnymede.gov.uk/article/15611/News,golekono dewe
Spelthorne,https://www.spelthorne.gov.uk/article/16409/News,rss
Surrey Heath,https://www.surreyheath.gov.uk/council/news,rss
Tandridge,https://www.tandridge.gov.uk/Your-council/News-and-consultation/News,rss
Woking,https://www.woking.gov.uk/news-list,golekono dewe
Gateshead,https://www.gateshead.gov.uk/article/1759/News,golekono dewe
Newcastle upon Tyne,https://www.newcastle.gov.uk/citylife-news,golekono dewe
North Tyneside,https://my.northtyneside.gov.uk/category/415/latest-news-and-events,golekono dewe
South Tyneside,https://www.southtyneside.gov.uk/article/55009/News,page
Wales,https://gov.wales/announcements,rss
Blaenau Gwent,https://www.blaenau-gwent.gov.uk/en/story/news/work-begins-on-flagship-recycling-centre/,golekono dewe
Bridgend,https://www.bridgend.gov.uk/news/,golekono dewe
Caerphilly,https://www.caerphilly.gov.uk/News.aspx,golekono dewe
Cardiff,https://www.cardiff.gov.uk/ENG/Your-Council/News/Pages/default.aspx,golekono dewe
Carmarthenshire,http://newsroom.carmarthenshire.gov.wales/,golekono dewe
Ceredigion,https://www.ceredigion.gov.uk/resident/news/,golekono dewe
Conwy,https://www.conwy.gov.uk/en/Spotlight/Press-Releases/Press-Releases.aspx,page
Denbighshire,https://www.denbighshire.gov.uk/en/resident/news/news.aspx,golekono dewe
Flintshire,https://www.flintshire.gov.uk/en/Resident/Council-Apps/News-Archive.aspx,golekono dewe
Isle of Anglesey,https://www.anglesey.gov.uk/en/Newsroom/Newsroom.aspx#/,golekono dewe
Merthyr Tydfil,https://www.merthyr.gov.uk/news-and-events/latest-news/,page
Monmouthshire,https://www.monmouthshire.gov.uk/latest-news/,golekono dewe
Neath Port Talbot,https://www.npt.gov.uk/15639,golekono dewe
Newport,http://www.newport.gov.uk/en/Council-Democracy/News/News-home.aspx,golekono dewe
Powys,https://en.powys.gov.uk/news,page
Rhondda Cynon Taf,https://www.rctcbc.gov.uk/EN/Newsroom/Newsroom.aspx,golekono dewe
Swansea,https://www.swansea.gov.uk/news,golekono dewe
Vale of Glamorgan,https://www.valeofglamorgan.gov.uk/en/our_council/press_and_communications/latest_news/Latest-News.aspx,golekono dewe
Wrexham,https://news.wrexham.gov.uk/,page
Warwickshire,https://news.warwickshire.gov.uk/,rss
North Warwickshire,https://www.northwarks.gov.uk/news,golekono dewe
Nuneaton and Bedworth,https://www.nuneatonandbedworth.gov.uk/news,golekono dewe
Rugby,https://www.rugby.gov.uk/news,rss
Stratford-on-Avon,https://www.stratford.gov.uk/#news,golekono dewe
Warwick,https://www.warwickdc.gov.uk/news,rss
West Midlands,https://www.wmca.org.uk/news,golekono dewe
Birmingham,https://www.birmingham.gov.uk/news,rss
Coventry,https://www.coventry.gov.uk/news/,rss
Dudley,https://www.dudley.gov.uk/news/,golekono dewe
Sandwell,http://www.sandwell.gov.uk/news,rss
Wolverhampton,https://www.wolverhampton.gov.uk/news,page
West Sussex,https://www.westsussex.gov.uk/news,golekono dewe
Adur,https://www.adur-worthing.gov.uk/news/,rss
Arun,https://www.arun.gov.uk/news-archive/,golekono dewe
Crawley,http://www.crawley.gov.uk/pw/News_and_Events/Press_Releases/index.htm,golekono dewe
Horsham,https://www.horsham.gov.uk/news,page
Mid Sussex,https://www.midsussex.gov.uk/about-us/press-releases-and-publications/,golekono dewe
Worthing,https://www.adur-worthing.gov.uk/news/,rss
West Yorkshire,https://www.westyorks-ca.gov.uk/news/,golekono dewe
Bradford,https://www.bradford.gov.uk/browse-all-news/press-releases/current-news-releases/,golekono dewe
Calderdale,https://news.calderdale.gov.uk/author/calderdale-council/,rss
Kirklees,https://kirkleestogether.co.uk/category/other-news/,page
Leeds,https://news.leeds.gov.uk/,golekono dewe
Wakefield,https://www.wakefield.gov.uk/about-the-council/newsroom,golekono dewe
Swindon,https://www.swindon.gov.uk/news,rss
Wiltshire,http://www.wiltshire.gov.uk/news,golekono dewe
Worcestershire,http://www.worcestershire.gov.uk/news_social_media,rss
Malvern Hills,https://www.malvernhills.gov.uk/news-alerts,golekono dewe
Worcester,https://www.worcester.gov.uk/news,golekono dewe
Wychavon,https://www.wychavon.gov.uk/news-and-alerts,golekono dewe
